train_loss,val_loss,train_f1,val_f1,lr
1.3734737815041291, 0.0, 0.6468701362609863, 0.5685046911239624, 0.0001
0.9155442535672635, 0.0, 0.876357913017273, 0.7394881248474121, 0.0001
0.8028960112371488, 0.0, 0.9273170828819275, 0.8756372928619385, 0.0001
0.7555029541936019, 0.0, 0.9480751752853394, 0.8673956990242004, 0.0001
0.7258158828764812, 0.0, 0.9605231285095215, 0.8835442066192627, 0.0001
0.7090605719002215, 0.0, 0.9653769731521606, 0.8667230606079102, 0.0001
0.6947636504740682, 0.0, 0.9716964960098267, 0.8875752091407776, 0.0001
0.6861940043332647, 0.0, 0.9743593335151672, 0.9280773401260376, 0.0001
0.6801047144410812, 0.0, 0.9758676886558533, 0.872624397277832, 0.0001
0.6768175570179178, 0.0, 0.9776778221130371, 0.9387987852096558, 5e-05
0.6535897526370034, 0.0, 0.9872795343399048, 0.9625588655471802, 5e-05
0.6529202709140712, 0.0, 0.98649662733078, 0.9675742387771606, 5e-05
0.6507211876883933, 0.0, 0.9878380298614502, 0.9700039625167847, 5e-05
0.6485265125808236, 0.0, 0.988217830657959, 0.9658547043800354, 5e-05
0.6479044065595492, 0.0, 0.9894638657569885, 0.9684949517250061, 5e-05
0.6491047474694197, 0.0, 0.9887555837631226, 0.9659619927406311, 5e-05
0.648527553206996, 0.0, 0.9888393878936768, 0.9461354613304138, 5e-05
0.6448492251967402, 0.0, 0.9903808832168579, 0.9618065357208252, 5e-05
0.6451288743340996, 0.0, 0.9897363781929016, 0.9729242324829102, 5e-05
0.6456646776376654, 0.0, 0.989786684513092, 0.9668463468551636, 2.5e-05
